panel,study,strand_number,strand,strand_key,sequencing_pattern,metric,method,method_raw,mean_score,sd_score,win_mean,win_sd,mean_r2,sd_r2
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,Hamming,HAM,0.04510077957580301,0.0012826756065138654,,,0.04510077957580301,0.0012826756065138654
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,OM,OM,0.006780872587388285,0.0003285669347671181,,,0.006780872587388285,0.0003285669347671181
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,LCP,LCP,0.004830661749856091,0.00022947680769196843,,,0.004830661749856091,0.00022947680769196843
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,RLCP,RLCP,0.003512689015604429,0.0002679179969718809,,,0.003512689015604429,0.0002679179969718809
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,LCPmst,LCPmst,0.013173413144294313,0.00045514416042080646,,,0.013173413144294313,0.00045514416042080646
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,RLCPmst,RLCPmst,0.013173413144294313,0.00045514416042080646,,,0.013173413144294313,0.00045514416042080646
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,LCPspell(expcost=0.00),LCPspell_expcost_0.00,0.00015643296098069844,0.00042195128169104164,,,0.00015643296098069844,0.00042195128169104164
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,RLCPspell(expcost=0.00),RLCPspell_expcost_0.00,0.00015643296098069844,0.00042195128169104164,,,0.00015643296098069844,0.00042195128169104164
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,LCPspell(expcost=0.10),LCPspell_expcost_0.10,0.0005042116322044747,0.00041806440390143975,,,0.0005042116322044747,0.00041806440390143975
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,RLCPspell(expcost=0.10),RLCPspell_expcost_0.10,0.0005042116322044747,0.00041806440390143975,,,0.0005042116322044747,0.00041806440390143975
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,LCPspell(expcost=0.25),LCPspell_expcost_0.25,0.0010170312836996797,0.00041276794331144325,,,0.0010170312836996797,0.00041276794331144325
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,RLCPspell(expcost=0.25),RLCPspell_expcost_0.25,0.0010170312836996873,0.0004127679433114507,,,0.0010170312836996873,0.0004127679433114507
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,LCPspell(expcost=0.50),LCPspell_expcost_0.50,0.00184892219121962,0.0004053209314551068,,,0.00184892219121962,0.0004053209314551068
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,RLCPspell(expcost=0.50),RLCPspell_expcost_0.50,0.00184892219121962,0.0004053209314551068,,,0.00184892219121962,0.0004053209314551068
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,LCPspell(expcost=0.75),LCPspell_expcost_0.75,0.002653518550552962,0.0003995234482518947,,,0.002653518550552962,0.0003995234482518947
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,RLCPspell(expcost=0.75),RLCPspell_expcost_0.75,0.002653518550552962,0.0003995234482518947,,,0.002653518550552962,0.0003995234482518947
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,LCPspell(expcost=1.00),LCPspell_expcost_1.00,0.0034321420095321776,0.0003952803266838215,,,0.0034321420095321776,0.0003952803266838215
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,RLCPspell(expcost=1.00),RLCPspell_expcost_1.00,0.00343214200953217,0.00039528032668382964,,,0.00343214200953217,0.00039528032668382964
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,LCPspell(expcost=1.50),LCPspell_expcost_1.50,0.0049163435116001235,0.0003910428387656948,,,0.0049163435116001235,0.0003910428387656948
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,RLCPspell(expcost=1.50),RLCPspell_expcost_1.50,0.004916343511600138,0.00039104283876571143,,,0.004916343511600138,0.00039104283876571143
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,LCPspell(expcost=2.00),LCPspell_expcost_2.00,0.006310534387445869,0.00039173961820931376,,,0.006310534387445869,0.00039173961820931376
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,RLCPspell(expcost=2.00),RLCPspell_expcost_2.00,0.006310534387445869,0.00039173961820931376,,,0.006310534387445869,0.00039173961820931376
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,OMspell(expcost=0.00),OMspell_expcost_0.00,0.0001564329609806689,0.00042195128169106294,,,0.0001564329609806689,0.00042195128169106294
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,OMspellRS(expcost=0.00),OMspellRS_expcost_0.00,0.0001564329609806689,0.00042195128169106294,,,0.0001564329609806689,0.00042195128169106294
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,OMspell(expcost=0.10),OMspell_expcost_0.10,0.0066496889681662875,0.0003570573278145641,,,0.0066496889681662875,0.0003570573278145641
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,OMspellRS(expcost=0.10),OMspellRS_expcost_0.10,0.00076944798279188,0.0004129457039440674,,,0.00076944798279188,0.0004129457039440674
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,OMspell(expcost=0.25),OMspell_expcost_0.25,0.009026797912934334,0.00034730462337895327,,,0.009026797912934334,0.00034730462337895327
A,study1,1,Timing Sensitivity,timing,,chance_corrected_pseudo_r2,OMspellRS(expcost=0.25),OMspellRS_expcost_0.25,0.0015840370651489604,0.00040184882979549545,,,0.0015840370651489604,0.00040184882979549545
